"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,0.008519097,97.9,98,12,12,,2014-06-19T00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,170
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,694,850,0.010921311,98.2,100.3,12,12,,2004-06-29T00:00,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,181
AprizeSat 3 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,0.007377695,98.18,97,12,12,,2009-07-29T00:00,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,210
AprizeSat 4 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,0.00499358,98.1,97.5,12,12,,2009-07-29T00:00,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,210
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,0.005981202,98.2,97.8,12,12,,2011-08-17T00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,229
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,0.004218203,97.8,97.17,12,12,,2013-11-21T00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,325
AprizeSat 8 (exactView-12),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,0.005355995,97.8,97.99,12,12,,2013-11-21T00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,325
AprizeSat 9 (exactView-11),NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,0.007250498,97.9,98,12,12,,2014-06-19T00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,170
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.04,35778,35794,1.90E-04,0.01,1436.08,"4,680",,,2005-04-12T00:00,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,,102
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,76.5,35864,35874,1.18E-04,0.03,1440.31,"5,054",,,2012-03-31T00:00,15 yrs.,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,91
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,142,35782,35788,7.12E-05,0.12,1436.01,"5,200",,"10,500",2015-10-16T00:00,15 yrs.,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.,289
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,87.68,35778,35795,2.02E-04,0.02,1436.12,"3,000","1,418","6,797 (EOL)",1998-05-30T00:00,15 yrs.,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354,"24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.",150
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,19.99,35766,35805,4.63E-04,0.06,1436.06,"4,630",,,2011-09-21T00:00,15 yrs.,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders",264
Arabsat 7F (Nimiq 1) ,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,44.5,35778,35794,1.90E-04,0.01,1436.09,"3,600","1,700","8,600",1999-05-20T00:00,12 yrs.,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.,140
ARC-1 (Alaska Research Satellite-1),NR,USA,University of Alaska-Fairbanks,Civil,Technology Development,,LEO,Non-Polar Inclined,0,497,801,0.021655506,64.78,97.71,1,,,2015-10-08T00:00,,University of Alaska-Fairbanks,USA,Cape Canaveral,Atlas 5,2015-058F,40969,Development of a cubesat platform by university students.,281
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.8,35778,35795,2.02E-04,0.01,1436.07,"3,000",,,2014-10-16T00:00,15 yrs.,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.",289
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81,35786,35801,1.78E-04,0.01,1436.06,"2,977",,"4,600",2015-09-30T00:00,15 yrs.,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,,273
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,ESA,European Space Agency,Commercial/Government,Communications/Technology Development,,GEO,,21.36,35771,35803,3.80E-04,7.03,1436.12,"3,105","1,500","4,600",2001-07-12T00:00,10 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).",193
AsiaSat-3S (Asiasat 3SA),China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.55,35780,35792,1.42E-04,0.02,1436.07,"3,480","2,500","10,000",1999-03-21T00:00,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",80
AsiaSat-4 ,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122.24,35784,35789,5.93E-05,0,1436.1,"4,137","2,275","9,500",2003-04-12T00:00,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.",102
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.5,35778,35795,2.02E-04,0,1436.11,"3,760",,,2009-08-11T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",223
AsiaSat-6 (Thaicom-7),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120,35783,35793,1.19E-04,0.07,1436.17,"3,700",,,2014-09-07T00:00,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.,250
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.5,35782,35793,1.30E-04,0.02,1436.17,"3,813",,,2011-11-25T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",329
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.5,35781,35793,1.42E-04,0.07,1436.1,"4,500",,"8,500",2014-08-05T00:00,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.,217
AsiaStar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,104.97,35773,35801,3.32E-04,0.02,1436.15,"2,775","1,530","5,600",2000-03-21T00:00,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",81
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,"Ministry of Economy, Trade and Industry",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,507,7.27E-05,97.48,94.75,500,,,2014-11-06T00:00,3 yrs.,NEC,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,310
Astra 1D ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-67.6,35776,35795,2.25E-04,1.15,1436.08,"2,924","1,700","3,300",1994-11-01T00:00,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,305
Astra 1F ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,19.22,35778,35797,2.25E-04,0.03,1436.15,"3,010","1,800","4,400",1996-04-18T00:00,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,109
Astra 1G ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,19.24,35780,35791,1.30E-04,0.04,1436.08,"3,379","3,010 (BOL)","6,600",1997-12-02T00:00,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,336
Astra 1H ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-67.6,35776,35794,2.13E-04,0.06,1436.04,"3,690","2,300","6,600",1999-06-18T00:00,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.",169
Astra 1KR,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,19.16,35766,35807,4.86E-04,0.08,1436.1,"4,332",,"12,000",2006-04-20T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,110
Astra 1L,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,19.3,35772,35798,3.08E-04,0.05,1436.03,"4,500",,"13,000",2007-05-04T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",124
Astra 1M,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,19.2,35804,35852,5.69E-04,0.14,1438.2,"5,345",,"9,900",2008-11-05T00:00,15 yrs.,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,310
Astra 1N,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.2,35715,35780,7.72E-04,0.12,1434.1,"5,350",,,2011-08-06T00:00,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,Direct-to-home and HD television.,218
Astra 2A ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.16,35776,35797,2.49E-04,0.08,1436.12,"3,635","2,500 (BOL)","7,000",1998-08-30T00:00,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",242
Astra 2B ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,31.33,35772,35801,3.44E-04,0.07,1436.11,"3,315","1,400","7,800",2000-09-14T00:00,14yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",258
Astra 2C ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.21,35768,35804,4.27E-04,0.07,1436.12,"3,643","2,000","7,000",2001-06-16T00:00,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",167
Astra 2D,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.14,35770,35802,3.80E-04,0.07,1436.1,"1,420",700,"1,500",2000-12-19T00:00,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",354
Astra 2E,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.2,35781,35793,1.42E-04,0.11,1436.12,"6,052",,"13,000",2013-09-29T00:00,15 yrs.,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe.",272
Astra 2F,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.2,35777,35795,2.13E-04,0.06,1436.07,"6,000","2,660",,2012-09-28T00:00,15 yrs.,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778,"Prime position for SES - BBC, ITV, Channel 5.",272
Astra 2G,NR (12/16),Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,28.2,35785,35789,4.74E-05,0.09,1436.11,"6,000",,"13,000",2014-12-27T00:00,15 yrs.,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton-M,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders,361
Astra 3A ,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,23.48,35770,35804,4.03E-04,0.06,1436.07,"1,500",750,"1,500",2002-03-29T00:00,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",88
Astra 3B,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,23.5,35768,35806,4.51E-04,0.08,1436.11,"5,471",,"10,000",2010-05-21T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.",141
Astra 5B,Luxembourg,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,31.55,35787,35793,7.12E-05,0.05,1436.26,"5,724",,,2014-03-22T00:00,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).,81
Astrosat,NR,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,LEO,Equatorial,0,632,649,0.001212467,5.99,97.54,230,,,2015-09-28T00:00,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930,India's first space observatory.,271
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,GEO,,25,35784,35788,4.74E-05,0.05,1436.06,"3,080",,,2014-02-06T00:00,15 yrs.,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2014-006B,39509,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands.",37
Athenoxat-1 ((Athene Noctua Experimental Satellite) ,NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,LEO,Equatorial,0,532,550,0.001302272,14.98,95.46,6,,,2015-12-16T00:00,,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077C,41168,Technology demonstrator nanosatellite for Earth remote sensing.,350
Atlantis (QB50 - US02),NR (10/17),USA,University of Michigan,Civil,Earth Science,,LEO,Non-Polar Inclined,0,396,409,9.60E-04,51.6,92.6,2,,,2017-05-26T00:00,,University of Michigan ,USA,International Space Station,Nanorack Deployer,1998-067MS,42737,Earth science in the thermosphere.,146
Aurora  (Tabletsat-2U-EO),Russia,Russia,Sputnix Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0,583,618,0.00251058,97.99,96.7,25,,,2014-06-19T00:00,1 yr.,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.,170
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Azerbaijan,Ministry of Communications and Information Technologies,Government,Communications,,GEO,,46,35778,35794,1.90E-04,0.04,1436.08,"3,250","1,438",,2013-02-07T00:00,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.,38
Badr 4 (Arabsat 4B),NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.02,35780,35791,1.30E-04,0.07,1436.06,"3,304","1,487",,2006-11-08T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526,28 Ku-band transponders; voice and video communications to West Asia region.,312
Badr 5 (Arabsat 5B),NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26,35834,35883,5.80E-04,0.06,1439.76,"5,420",,,2010-06-03T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.",154
Badr 5A (Arabsat 5A),NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,30.5,35605,35623,2.14E-04,0.03,1427.27,"4,940",,,2010-06-26T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.",177
Badr 6 (Arabsat 4AR),NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.08,35768,35805,4.39E-04,0.05,1436.1,"3,400",,"6,000",2008-07-07T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.",189
Badr 7 (Arabsat 6B),NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26,35768,35817,5.81E-04,0.1,"1,436.00","5,500",,,2015-11-10T00:00,15 yrs.,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2015-065B,41029,,314
BARS-M (Cosmos 2503),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,570,586,0.00115141,97.7,96.1,"4,000",,,2015-02-27T00:00,5 yrs.,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,Electronic intelligence gathering (ELINT).,58
