"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Men";"40 to 49 years";"1954";"      70";"      12";"      51";"       3";"       4";"      36";"       3";"";"       8";"       0";"      19";"       4";"       0";"       0";"       0";"       0";"      70";"    11.1";"    21.6";"     9.1";"    66.0";"    43.6"
"Men";"40 to 49 years";"1955";"      69";"      18";"      47";"       2";"       2";"      33";"       3";"";"      10";"       1";"      19";"       3";"      26";"       9";"       1";"       8";"      25";"    10.8";"    32.9";"     8.3";"    45.7";"    21.5"
"Men";"40 to 49 years";"1956";"      60";"      14";"      43";"       0";"       3";"      31";"       2";"";"       5";"       2";"      18";"       2";"       0";"       0";"       0";"       0";"      60";"     9.3";"    26.1";"     7.5";"     0.0";"    32.0"
"Men";"40 to 49 years";"1957";"      58";"      16";"      34";"       2";"       6";"      30";"       1";"";"      10";"       1";"      12";"       4";"      25";"       5";"       3";"       7";"      18";"     9.0";"    30.3";"     5.9";"    48.8";"    64.5"
"Men";"40 to 49 years";"1958";"      72";"      12";"      56";"       3";"       1";"      27";"       2";"";"      12";"       1";"      25";"       5";"       0";"       0";"       0";"       0";"      72";"    11.1";"    23.2";"     9.6";"    75.4";"    10.8"
"Men";"40 to 49 years";"1959";"      54";"       9";"      40";"       1";"       4";"      27";"       2";"";"       9";"       0";"      13";"       3";"       0";"       0";"       0";"       0";"      54";"     8.4";"    17.8";"     6.9";"    25.6";"    43.4"
"Men";"40 to 49 years";"1960";"      78";"      17";"      55";"       3";"       3";"      32";"       2";"";"      18";"       2";"      21";"       3";"       0";"       0";"       0";"       0";"      78";"    11.9";"    33.8";"     9.3";"    78.5";"    36.4"
"Men";"40 to 49 years";"1961";"      63";"      10";"      48";"       2";"       3";"      32";"       9";"";"       7";"       1";"      14";"       0";"       0";"       0";"       0";"       0";"      63";"     9.5";"    19.6";"     8.0";"    52.9";"    40.5"
"Men";"40 to 49 years";"1962";"      56";"      11";"      41";"       0";"       4";"      28";"       4";"";"      10";"       1";"      10";"       3";"      22";"       5";"       4";"       7";"      18";"     8.3";"    21.5";"     6.7";"     0.0";"    53.5"
"Men";"40 to 49 years";"1963";"      62";"      11";"      46";"       2";"       3";"      30";"       5";"";"      10";"       1";"      11";"       5";"       0";"       0";"       0";"       0";"      62";"     9.1";"    21.3";"     7.4";"    53.2";"    39.8"
"Men";"40 to 49 years";"1964";"      70";"      16";"      50";"       2";"       2";"      28";"       5";"";"       9";"       3";"      18";"       7";"       0";"       0";"       0";"       0";"      70";"    10.1";"    30.7";"     7.9";"    53.7";"    26.2"
"Men";"40 to 49 years";"1965";"      71";"      21";"      45";"       2";"       3";"      30";"       8";"";"      10";"       2";"      18";"       3";"      40";"       4";"       2";"       7";"      18";"    10.1";"    40.0";"     7.1";"    54.3";"    38.6"
"Men";"40 to 49 years";"1966";"      73";"      18";"      51";"       1";"       3";"      23";"       9";"";"      13";"       0";"      19";"       9";"       0";"       0";"       0";"       0";"      73";"    10.3";"    34.1";"     7.9";"    26.8";"    37.8"
"Men";"40 to 49 years";"1967";"      70";"      17";"      43";"       2";"       8";"      37";"      10";"";"       7";"       1";"      12";"       3";"      33";"       5";"       2";"       3";"      27";"     9.8";"    31.9";"     6.6";"    52.5";"    95.5"
"Men";"40 to 49 years";"1968";"      75";"      18";"      48";"       0";"       9";"      32";"      14";"";"      13";"       1";"       8";"       7";"       0";"       0";"       0";"       0";"      75";"    10.3";"    33.2";"     7.3";"     0.0";"    99.7"
"Men";"40 to 49 years";"1969";"      99";"      24";"      67";"       1";"       7";"      43";"      23";"";"      19";"       1";"      13";"       0";"      46";"       9";"       3";"       8";"      33";"    13.4";"    43.1";"    10.0";"    24.7";"    71.4"
"Men";"40 to 49 years";"1970";"     106";"      21";"      80";"       1";"       4";"      43";"      23";"";"      18";"       6";"      16";"       0";"      54";"       5";"       2";"      12";"      33";"    14.2";"    36.7";"    11.9";"    24.2";"    37.8"
"Men";"40 to 49 years";"1971";"     105";"      25";"      76";"       0";"       4";"      35";"      25";"";"      20";"       4";"      21";"       0";"      50";"       8";"       3";"       7";"      37";"    14.0";"    42.9";"    11.2";"     0.0";"    35.1"
"Men";"40 to 49 years";"1972";"      99";"      26";"      63";"       2";"       8";"      40";"      36";"";"       7";"       3";"      13";"       0";"      56";"       1";"       5";"       5";"      32";"    13.1";"    43.8";"     9.3";"    47.7";"    63.4"
"Men";"40 to 49 years";"1973";"     108";"      32";"      68";"       0";"       8";"      47";"      26";"";"       8";"       4";"      23";"       0";"      61";"       4";"       4";"       4";"      35";"    14.3";"    52.8";"    10.0";"     0.0";"    55.7"
"Men";"40 to 49 years";"1974";"     124";"      16";"      89";"       2";"      17";"      50";"      39";"";"      11";"       6";"      18";"       0";"      55";"       5";"       5";"      10";"      49";"    16.3";"    25.8";"    13.2";"    46.1";"   103.0"
"Men";"40 to 49 years";"1975";"     105";"      24";"      68";"       2";"      11";"      40";"      22";"";"      10";"       7";"      26";"       0";"      42";"       7";"      10";"       7";"      39";"    13.7";"    38.0";"    10.0";"    45.7";"    58.8"
"Men";"40 to 49 years";"1976";"     116";"      22";"      72";"       2";"      20";"      41";"      32";"";"      20";"       5";"      18";"       0";"      50";"       7";"       5";"       6";"      48";"    15.0";"    34.2";"    10.6";"    45.2";"    94.5"
"Men";"40 to 49 years";"1977";"     137";"      30";"      75";"       4";"      28";"      50";"      29";"";"      20";"       5";"      33";"       0";"      64";"       5";"       7";"       9";"      52";"    17.6";"    45.7";"    11.0";"    88.4";"   116.0"
"Men";"40 to 49 years";"1978";"     131";"      30";"      68";"       5";"      28";"      47";"      30";"";"      16";"       7";"      31";"       0";"      58";"       6";"       8";"       7";"      52";"    16.7";"    44.8";"     9.9";"   108.2";"   103.1"
"Men";"40 to 49 years";"1979";"     148";"      35";"      85";"       2";"      26";"      68";"      23";"      13";"      12";"      10";"      22";"       0";"      57";"       9";"      11";"      10";"      61";"    18.6";"    51.2";"    12.3";"    42.6";"    85.3"
"Men";"40 to 49 years";"1980";"     133";"      32";"      84";"       2";"      15";"      68";"      11";"      12";"      16";"       1";"      25";"       0";"      58";"      10";"       7";"      12";"      46";"    16.5";"    45.9";"    12.0";"    42.5";"    43.9"
"Men";"40 to 49 years";"1981";"     137";"      42";"      69";"       4";"      22";"      56";"      23";"      15";"      18";"       3";"      22";"       0";"      64";"      11";"       8";"      12";"      42";"    16.8";"    59.3";"     9.8";"    84.1";"    57.3"
"Men";"40 to 49 years";"1982";"     159";"      37";"      96";"       3";"      23";"      71";"      23";"      19";"      13";"       6";"      27";"       0";"      76";"       4";"      11";"      12";"      56";"    19.2";"    53.0";"    13.5";"    63.7";"    53.8"
"Men";"40 to 49 years";"1983";"     154";"      31";"      88";"       1";"      34";"      58";"      22";"      21";"      11";"       5";"      37";"       0";"      56";"       1";"      21";"      27";"      49";"    18.3";"    44.8";"    12.2";"    21.4";"    70.6"
"Men";"40 to 49 years";"1984";"     174";"      42";"      97";"       2";"      33";"      71";"      31";"      19";"      16";"      10";"      27";"       0";"      73";"       5";"      36";"      21";"      39";"    20.1";"    58.8";"    13.2";"    41.6";"    60.2"
"Men";"40 to 49 years";"1985";"     158";"      35";"      74";"       2";"      47";"      71";"      20";"      20";"      15";"       5";"      27";"       0";"      44";"       5";"      27";"      16";"      66";"    17.9";"    47.4";"     9.9";"    40.5";"    76.8"
"Men";"40 to 49 years";"1986";"     154";"      30";"      85";"       4";"      35";"      61";"      18";"      13";"      15";"      10";"      37";"       0";"      36";"       3";"      22";"      11";"      82";"    16.7";"    38.5";"    11.0";"    80.0";"    51.4"
"Men";"40 to 49 years";"1987";"     161";"      43";"      85";"       2";"      31";"      79";"      14";"      18";"       6";"      11";"      33";"       0";"      53";"       3";"      18";"       8";"      79";"    16.6";"    51.2";"    10.5";"    39.0";"    41.0"
"Men";"40 to 49 years";"1988";"     145";"      38";"      75";"       5";"      27";"      67";"      12";"      20";"      13";"      11";"      22";"       0";"      45";"       2";"      20";"       9";"      69";"    14.3";"    41.9";"     9.0";"    93.0";"    32.8"
"Men";"40 to 49 years";"1989";"     169";"      43";"      74";"       3";"      49";"      87";"      19";"      22";"       6";"       7";"      28";"       0";"      64";"       8";"      33";"      18";"      46";"    16.1";"    44.4";"     8.6";"    54.3";"    55.6"
"Men";"40 to 49 years";"1990";"     176";"      40";"      77";"       4";"      55";"      77";"      17";"      25";"      12";"      13";"      32";"       0";"      60";"      13";"      34";"      29";"      40";"    16.3";"    38.7";"     8.8";"    70.1";"    59.2"
"Men";"40 to 49 years";"1991";"     176";"      47";"      81";"       4";"      44";"      75";"      11";"      14";"      13";"      11";"      51";"       1";"      84";"       3";"      24";"      20";"      45";"    15.9";"    42.3";"     9.1";"    66.2";"    45.6"
"Men";"40 to 49 years";"1992";"     193";"      51";"      95";"       0";"      47";"      79";"      24";"      23";"      18";"      15";"      34";"       0";"      89";"       3";"      31";"      22";"      48";"    17.0";"    42.5";"    10.5";"     0.0";"    46.9"
"Men";"40 to 49 years";"1993";"     192";"      48";"      87";"       3";"      54";"      82";"      26";"      27";"      12";"      17";"      28";"       0";"      77";"       4";"      36";"      23";"      52";"    16.6";"    37.1";"     9.5";"    45.5";"    51.9"
"Men";"40 to 49 years";"1994";"     230";"      56";"     115";"       2";"      57";"      99";"      37";"      30";"      13";"      12";"      38";"       1";"      88";"       5";"      45";"      24";"      68";"    19.6";"    40.2";"    12.5";"    29.7";"    53.0"
"Men";"40 to 49 years";"1995";"     222";"      76";"      86";"       2";"      58";"      96";"      29";"      26";"      15";"      16";"      40";"       0";"      76";"      15";"      32";"      37";"      62";"    18.7";"    50.7";"     9.3";"    29.0";"    52.0"
"Men";"40 to 49 years";"1996";"     224";"      62";"     112";"       2";"      48";"     107";"      27";"      21";"      17";"      15";"      35";"       2";"      84";"       4";"      33";"      30";"      73";"    18.8";"    38.7";"    12.3";"    28.7";"    42.2"
"Men";"40 to 49 years";"1997";"     197";"      42";"      80";"       3";"      72";"      98";"      25";"      17";"       8";"      11";"      38";"       0";"      82";"       3";"      30";"      25";"      57";"    16.7";"    24.7";"     9.0";"    44.2";"    63.3"
"Men";"40 to 49 years";"1998";"     177";"      65";"      59";"       4";"      49";"      90";"      21";"      17";"       9";"       9";"      31";"       0";"      77";"       4";"      27";"      26";"      43";"    15.0";"    35.9";"     6.7";"    61.4";"    43.0"
"Men";"40 to 49 years";"1999";"     215";"      77";"      73";"       3";"      62";"      99";"      33";"      22";"      10";"      15";"      36";"       0";"     106";"       7";"      29";"      23";"      50";"    18.1";"    40.0";"     8.4";"    47.0";"    53.9"
"Men";"40 to 49 years";"2000";"     242";"      86";"      93";"       1";"      62";"     122";"      41";"      24";"      10";"      25";"      19";"       1";"     105";"       8";"      27";"      28";"      74";"    20.2";"    41.8";"    10.7";"    15.7";"    53.1"
"Men";"40 to 49 years";"2001";"     220";"      76";"      86";"       2";"      56";"     111";"      30";"      33";"       8";"       8";"      30";"       0";"      90";"      13";"      30";"      21";"      66";"    18.1";"    34.6";"     9.9";"    31.9";"    46.8"
"Men";"40 to 49 years";"2002";"     249";"      99";"      88";"       0";"      62";"     121";"      36";"      25";"      15";"      14";"      38";"       0";"      99";"      10";"      33";"      45";"      62";"    20.3";"    42.2";"    10.2";"     0.0";"    50.5"
"Men";"40 to 49 years";"2003";"     257";"     100";"      84";"       2";"      71";"     135";"      32";"      25";"       9";"      24";"      32";"       0";"     108";"       9";"      37";"      22";"      81";"    20.7";"    40.1";"     9.7";"    33.5";"    56.7"
"Men";"40 to 49 years";"2004";"     243";"      99";"      82";"       5";"      57";"     124";"      34";"      24";"      13";"      16";"      32";"       0";"      91";"      13";"      49";"      33";"      57";"    19.3";"    37.3";"     9.5";"    85.2";"    44.7"
