id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc
388,300,Buffalo Belgian Stout,-1,-1,9,0,0,0
389,238,Rader AmbrÃ©e,-1,-1,0,0,0,0
390,238,Rader Blonde,-1,-1,6.5,0,0,0
391,626,Toleration,-1,-1,4.4,0,0,0
392,1185,English Ale,3,26,0,0,0,0
393,425,Ripon Jewel Ale,3,26,5.8,0,0,0
394,200,XTra,-1,-1,4.5,0,0,0
395,723,Bam BiÃ¨re,5,74,4.5,0,0,0
396,1115,Samichlaus Bier 2005,7,90,14,0,0,0
397,609,Barleywine,3,35,10,0,0,0
398,1177,Old Godfather,-1,-1,10.2,0,0,0
399,1023,Aventinus Weizen-Eisbock,7,90,12,0,0,0
400,1023,Aventinus Weizenstarkbier / Doppel Weizen Bock,4,55,8.2,0,0,0
401,905,New Belgium Trippel Belgian Style Ale,5,61,8.5,0,0,0
402,249,Hennepin Farmhouse Ale,-1,-1,7.7,0,0,0
403,905,Abbey Belgian Style Ale,5,60,7,0,0,0
404,1142,India Pale Ale,3,26,6.8,0,0,0
405,1142,Bigfoot 2006,-1,-1,9.6,0,0,0
406,1054,Iron Fist Pale Ale,3,26,0,0,0,0
407,586,Demolition,8,95,8,0,0,0
408,723,Oro de Calabaza,5,65,8,0,0,0
409,723,La Roja,3,33,7.2,0,0,0
410,919,Brother Thelonious,-1,-1,9,0,0,0
411,441,Hop Trip Fresh Hop Pale Ale,3,26,5.5,0,0,0
412,130,Organic Belgian Ale,-1,-1,0,0,0,0
413,1192,Nieuw Ligt Grand Cru 2006,-1,-1,12,0,0,0
414,604,Hibernation Ale,1,13,8.1,0,0,0
415,623,Wee Heavy Winter Ale,1,15,0,0,0,0
416,905,2Â° Below,1,5,6.6,0,0,0
417,425,Monkey Wrench Dark Ale,2,25,5.3,0,0,0
418,425,Old Legover,-1,-1,4.1,0,0,0
419,604,Hercules Double IPA,3,31,9.1,0,0,0
420,604,Fresh Hop Pale Ale,3,26,6.1,0,0,0
421,98,Twisted Thistle India Pale Ale,3,26,6.1,0,0,0
422,1315,Espresso Stout,-1,-1,0,0,0,0
423,441,Inversion IPA,3,31,6.8,0,0,0
424,844,India Pale Ale,3,26,7.5,0,0,0
425,844,London Porter,2,25,6.5,0,0,0
426,742,Hitachino Nest Celebration Ale 2006,-1,-1,9,0,0,0
427,363,Rubia,8,95,6,0,0,0
428,562,Session Premium Lager,8,95,5.1,0,0,0
429,156,Mocny BOSS / BOSS Beer,8,95,8.1,0,0,0
430,127,La Rossa,7,90,7.2,0,0,0
431,905,Blue Paddle Pilsener,7,77,4.8,0,0,0
432,367,Lager,8,95,4,0,0,0
433,70,Hell,-1,-1,4.9,0,0,0
434,70,Pilsner,-1,-1,4.9,0,0,0
435,70,Ungespundet Lager Hefetrub,-1,-1,5.2,0,0,0
436,1188,Keller-Bier,-1,-1,0,0,0,0
437,1264,Imperial Porter,2,25,0,0,0,0
438,1264,Amber Ale,3,33,0,0,0,0
439,905,La Folie,-1,-1,6,0,0,0
440,296,Abt 12,5,62,10,0,0,0
441,195,Nostradamus,-1,-1,9.5,0,0,0
442,175,Triple,-1,-1,9,0,0,0
443,168,Ultrabrune,-1,-1,10,0,0,0
444,277,PÃ¨re NoÃ«l,-1,-1,0,0,0,0
445,1375,Bah Humbug,1,13,6,0,0,0
446,727,Harvest Ale 2005 (Port),-1,-1,11.5,0,0,0
447,727,Harvest Ale 2005,1,13,11.5,0,0,0
448,727,Moonraker,-1,-1,7.5,0,0,0
449,638,Old Engine Oil,2,25,6,0,0,0
450,1043,Pitchfork Rebellious Bitter,-1,-1,4.3,0,0,0
451,638,Bitter and Twisted,-1,-1,3.8,0,0,0
452,1185,India Pale Ale,3,26,0,0,0,0
453,1043,Old Slug Porter,2,25,4.5,0,0,0
454,744,Golden Abbot Lager,-1,-1,0,0,0,0
455,744,Porter,2,25,7.1,0,0,0
456,757,MÃ¶nchshof KellerbrÃ¤u,-1,-1,0,0,0,0
457,626,Nightmare,2,25,5,0,0,0
458,205,Ur-Weisse,4,50,0,0,0,0
459,650,Schlenkerla Helles Lagerbier,-1,-1,4.3,0,0,0
460,743,Ondineke Oilsjtersen Tripel,-1,-1,8.5,0,0,0
461,1043,Ale Mary,3,26,6,0,0,0
462,743,Jan de Lichte,-1,-1,7,0,0,0
463,1142,Bigfoot 2000,-1,-1,9.6,0,0,0
464,222,Rauchbier Lager,-1,-1,4.6,0,0,0
465,14,Bourbon Imperial Stout,-1,-1,0,0,0,0
466,14,Witbier,-1,-1,0,0,0,0
467,14,Bavarian Bock,7,90,0,0,0,0
468,14,Heater,3,33,0,0,0,0
469,14,Harvest Brown,3,38,0,0,0,0
470,14,Brout,-1,-1,0,0,0,0
471,650,Aecht Schlenkerla Rauchbier MÃ¤rzen,-1,-1,0,0,0,0
472,650,Aecht Schlenkerla Rauchbier Weizen,8,95,0,0,0,0
473,757,Kapuziner Schwarz-Weizen,-1,-1,5.4,0,0,0
474,70,Christmas Bock,7,90,6,0,0,0
475,296,Prior 8,5,60,8,0,0,0
476,395,Old Man Ale,-1,-1,4.8,0,0,0
477,1056,Criminally Bad Elf,-1,-1,10.5,0,0,0
478,1056,Very Bad Elf Special Reserve Ale,-1,-1,7.5,0,0,0
479,70,Weisse,4,50,4.9,0,0,0
