id,unit,name,start,end,agency,acres,cause
HUU-3522,Del Norte,Shelly Creek,07-28-2002,08-01-2002,USFS,850,Under Invest.
HUU-3522,Del Norte,Shelly Creek,07-28-2002,08-01-2002,USFS,850,Under Invest.
MVU-5658,San Diego need exp,Pines,07-29-2002,08-16-2002,CDF,61690,Elec. Power
MVU-5658,San Diego need exp,Pines,07-29-2002,08-16-2002,CDF,61690,Elec. Power
SCU-3198,Contra Costa,Vasco,08-05-2002,08-05-2002,CDF,549,Undetermined
SCU-3198,Contra Costa,Vasco,08-05-2002,08-05-2002,CDF,549,Undetermined
LNU-6171,Napa,Pope,08-09-2002,08-10-2002,CDF,800,Equip. Use
LNU-6171,Napa,Pope,08-09-2002,08-10-2002,CDF,800,Equip. Use
BEU-3023,Monterey,Ft. Hunter Ligget,08-10-2002,08-11-2002,MIL,1400,Under Invest.
BEU-3023,Monterey,Ft. Hunter Ligget,08-10-2002,08-11-2002,MIL,1400,Under Invest.
RRU-58948,Riverside,Bryant,08-11-2002,08-12-2002,CDF,498,Play/W/Fire
HUU-3893,Humboldt,Supply HIA Assist #1,08-14-2002,08-18-2002,BIA,410,Under Invest.
SLU-4854,San Luis Obispo,Redhill,08-17-2002,08-19-2002,USFS,715,Under Invest.
AEU-12859,El Dorado,Showers,08-19-2002,08-21-2002,USFS,384,Human
MVU-6486,San Diego,Assist #73,08-24-2002,08-25-2002,USFS,850,Undetermined
BDU-8188,San Bernardino,Lytle,08-29-2002,09-04-2002,USFS,554,Under Invest.
AEU-13579,El Dorado,Hickok,08-31-2002,08-31-2002,CDF,775,Play/W/Fire
BDU-8451,Los Angeles,Curve BDU8451 379,09-01-2002,09-05-2003,USFS,20857,Under Invest.
BDU-8584,Los Angeles,Freeway,09-01-2002,09-03-2002,CC,1043,Under Invest.
BDU-8585,Los Angeles,Leona,09-03-2002,09-06-2002,USFS,5124,Under Invest.
SHU-8454,Shasta,Squirrel,09-03-2002,09-03-2002,CDF,625,Smoking
BDU-8607,Los Angeles County,Mountain,09-09-2002,09-11-2002,CC,1200,Under Invest.
BDU-8607,Los Angeles County,Mountain,09-09-2002,09-11-2002,CC,1200,Under Invest.
