"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,166,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,166,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,167,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,167,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,167,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,167,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,168,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,168,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,168,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,168,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,169,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,169,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,169,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,169,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,170,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,170,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,170,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,170,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,171,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,171,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,171,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,171,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,172,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,172,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,172,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,172,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,173,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,173,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,173,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,173,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,174,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,174,"Gambit (costumed)   ","thought",0
