supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
France,Belgium,382,Griffon VBMR,APC,2019,,,Part of EUR1.1 b or EUR1.6 b deal; assembled in Belgium; delivery planned 2025-2030
France,Belgium,60,Jaguar EBRC,Armoured car,2019,,,Part of EUR1.1 b or EUR1.6 b deal; partly assembled in Belgium; delivery planned 2025-2030
France,Bolivia,4,Ground Master-400,Air search radar,2016,2019-2020,-4,Part of EUR191 m ($215 m) deal; incl for civilian use
France,Botswana,-50,MICA,BVRAAM,2016,2020,-50,For VL-MICA SAM system
France,Botswana,-140,Mistral,Portable SAM,2016,2018-2020,-140,
France,Botswana,-1,VL-MICA,SAM system,2016,2020,-1,
France,Brazil,,F21 533mm,AS/ASW torpedo,-2009,2019,-2,For Scorpene submarines
France,Burkina Faso,6,Bastion,APC/APV,2019,2019-2020,-6,Aid financed by EU
France,Chad,7,Bastion,APC/APV,2019,2019-2020,-7,Financed by EU
France,Chad,9,ERC-90,Armoured car,2020,,,Second-hand; aid; delivery planned 2021
France,Chile,5,AS-350/AS-550 Fennec,Light helicopter,2019,2020,1,'Project Gaviota'; delivery planned 2020-2022
France,Cyprus,,Mistral,Portable SAM,2019,,,EUR150 m deal
France,Cyprus,-20,MM-40-3 Exocet,Anti-ship MI/SSM,2019,2020,-10,For 1 Exocet coast defence system
France,Denmark,15,CAESAR 155mm,Self-propelled gun,2017,2019,-2,Option on 6 more; delivery planned 2019-2021
France,Denmark,4,CAESAR 155mm,Self-propelled gun,2019,,,
France,Egypt,-50,MM-40-3 Exocet,Anti-ship MI/SSM,-2014,2017,-10,For Gowind frigates
France,Egypt,-100,MICA,BVRAAM,2015,2017,-25,For Gowind frigates
France,Egypt,-50,Storm Shadow/SCALP,ASM,-2015,,,SCALP version; for Rafale combat aircraft
France,Estonia,-100,Mistral,Portable SAM,2018,2020,-30,
France,Germany,-18,Ocean Master,MP aircraft radar,2013,2019,-3,For 18 NH-90 ASW helicopters produced in FRG
France,Germany,-62,RTM-332,Turboshaft,-2020,,,For 31 NH90 NFH (Sea Tiger) ASW helicopters produced in Germany
