"group","yfield","xfield"
"Netherlands",0,1648
"U.S.A.",0,1648
"Denmark/Baltic",0,1648
"Portugal",7048,1649
"Great Britain",1421,1649
"France",0,1649
"Spain",889,1649
"Netherlands",1038,1649
"U.S.A.",0,1649
"Denmark/Baltic",0,1649
"Portugal",8286,1650
"Great Britain",0,1650
"France",0,1650
"Spain",889,1650
"Netherlands",542,1650
"U.S.A.",453,1650
"Denmark/Baltic",0,1650
"Portugal",8586,1651
"Great Britain",1046,1651
"France",0,1651
"Spain",1350,1651
"Netherlands",0,1651
"U.S.A.",0,1651
"Denmark/Baltic",0,1651
"Portugal",7631,1652
"Great Britain",1157,1652
"France",0,1652
"Spain",889,1652
"Netherlands",1919,1652
"U.S.A.",0,1652
"Denmark/Baltic",0,1652
"Portugal",7956,1653
"Great Britain",0,1653
"France",0,1653
"Spain",889,1653
"Netherlands",1777,1653
"U.S.A.",0,1653
"Denmark/Baltic",0,1653
"Portugal",7956,1654
"Great Britain",3043,1654
"France",0,1654
"Spain",1300,1654
"Netherlands",1448,1654
"U.S.A.",0,1654
"Denmark/Baltic",0,1654
"Portugal",9480,1655
"Great Britain",989,1655
"France",355,1655
"Spain",889,1655
"Netherlands",1511,1655
"U.S.A.",0,1655
"Denmark/Baltic",0,1655
"Portugal",10721,1656
"Great Britain",6157,1656
"France",0,1656
"Spain",1516,1656
"Netherlands",1300,1656
"U.S.A.",0,1656
"Denmark/Baltic",0,1656
"Portugal",9986,1657
"Great Britain",3211,1657
"France",0,1657
"Spain",889,1657
"Netherlands",3028,1657
"U.S.A.",0,1657
"Denmark/Baltic",325,1657
"Portugal",9926,1658
"Great Britain",9139,1658
"France",0,1658
"Spain",889,1658
"Netherlands",3772,1658
"U.S.A.",0,1658
"Denmark/Baltic",0,1658
"Portugal",9688,1659
"Great Britain",989,1659
"France",351,1659
"Spain",889,1659
"Netherlands",7012,1659
"U.S.A.",0,1659
"Denmark/Baltic",0,1659
"Portugal",9306,1660
"Great Britain",989,1660
"France",0,1660
"Spain",889,1660
"Netherlands",4216,1660
"U.S.A.",0,1660
"Denmark/Baltic",328,1660
"Portugal",9431,1661
"Great Britain",5420,1661
"France",0,1661
"Spain",889,1661
"Netherlands",4105,1661
"U.S.A.",0,1661
"Denmark/Baltic",0,1661
"Portugal",9456,1662
"Great Britain",4864,1662
"France",0,1662
"Spain",889,1662
