"scalerank","featurecla","name","website","natlscale","latitude","longitude"
7,"Port","Masset",,10.0,54.00666667,-132.1411072
7,"Port","Matane",,10.0,48.84194444,-67.57126031
7,"Port","Nanisivik",,10.0,73.06861111,-84.54305065
7,"Port","New Richmond",,10.0,48.13861111,-65.83492344
7,"Port","Port Hardy",,10.0,50.72111111,-127.4836867
7,"Port","Port Hawkesbury","www.straitsuperport.com",10.0,45.61,-61.35565371
7,"Port","Squamish","www.sqterminals.com",10.0,49.68305556,-123.1666667
7,"Port","Stephenville","www.portharmonauthority.ca",10.0,48.53527778,-58.54075383
7,"Port","Stewart","www.stewart-hyder.com",10.0,55.92861111,-129.9895171
7,"Port","Tahsis",,10.0,49.9175,-126.6540636
7,"Port","Sandspit",,10.0,53.25527778,-131.8196702
7,"Port","Tuktoyaktuk",,10.0,69.43138889,-132.9858068
7,"Port","Ancud",,10.0,-41.86861111,-73.82567727
7,"Port","Castro",,10.0,-42.48277778,-73.76684335
7,"Port","Chanaral",,10.0,-26.35055556,-70.6343934
7,"Port","Puerto Natales",,10.0,-51.73111111,-72.50936396
7,"Port","Taltal",,10.0,-25.39722222,-70.48457008
7,"Port","Guangzhou",,10.0,22.64027778,113.6710836
7,"Port","Jiangyin",,10.0,31.93194444,120.2212603
7,"Port","Lianyungang","www.lygport.com.cn",10.0,34.74527778,119.4084806
7,"Port","Sanya",,10.0,18.23972222,109.50053
7,"Port","Zhanjiang","www.zjport.com",10.0,21.16972222,110.4063604
7,"Port","Zhoushan","www.zsport.com.cn",10.0,30.00333333,122.1026502
7,"Port","San-Pedro",,10.0,4.743055556,-6.617020024
7,"Port","Cartagena","www.sprc.com.co",10.0,10.40333333,-75.52567727
7,"Port","Tolu","www.navescolombia.com",10.0,9.520277778,-75.5852768
7,"Port","Tumaco","www.navescolombia.com",10.0,1.813055556,-78.75954064
7,"Port","Turbo","www.navescolombia.com",10.0,8.087777778,-76.73386337
7,"Port","Baracoa",,10.0,20.35305556,-74.50229682
7,"Port","Nicaro",,10.0,20.71333333,-75.55088339
7,"Port","Nueva Gerona",,10.0,21.90333333,-82.79322733
7,"Port","Helgoland","www.helgoland.de",10.0,54.1775,7.891283863
7,"Port","Travemunde",,10.0,53.95222222,10.86825677
7,"Port","Thisted",,10.0,56.95277778,8.692167256
7,"Port","Manta","www.apmanta.gov.ec",10.0,-0.935555556,-80.72090695
7,"Port","Esmeraldas","www.puertoesmeraldas.gov.ec",10.0,0.989444444,-79.64269729
7,"Port","Corralejo",,10.0,28.74138889,-13.85883392
7,"Port","Ceuta","www.puertodeceuta.com",10.0,35.89027778,-5.310424028
7,"Port","Melilla","www.puertodemelilla.es",10.0,35.28,-2.922850412
7,"Port","San Sebastian de la Gomera",,10.0,28.08805556,-17.10512367
7,"Port","Santa Cruz de La Palma",,10.0,28.67583333,-17.76666667
7,"Port","Parnu","www.transcom.ee",10.0,58.38111111,24.4746172
7,"Port","Kuopio",,10.0,62.88833333,27.68987044
7,"Port","Joensuu","www.jns.fi",10.0,62.60444444,29.77709069
7,"Port","Varkaus",,10.0,62.3125,27.87479388
7,"Port","Savusavu","www.fijiports.com.fj",10.0,-16.81777778,179.309364
7,"Port","Cherbourg","www.ville-cherbourg.fr/fr/ville_maritime/port_de_plaisance/",10.0,49.64638889,-1.620376914
7,"Port","Caen","www.caen.port.fr",10.0,49.19055556,-0.326383981
7,"Port","Calvi",,10.0,42.56583333,8.755300353
7,"Port","Propriano","www.corse-du-sud.cci.fr",10.0,41.67694444,8.900353357
7,"Port","Quimper",,10.0,47.98944444,-4.108127208
7,"Port","Vannes",,10.0,47.64388889,-2.756360424
7,"Port","Yap",,10.0,9.513333333,138.1194935
7,"Port","Bristol","www.bristolport.co.uk",10.0,51.49888889,-2.707773852
7,"Port","Hull","www.abports.co.uk/custinfo/ports/hull.htm",10.0,53.74361111,-0.285100118
7,"Port","Newcastle upon Tyne",,10.0,54.965,-1.590930506
7,"Port","Tyne","www.portoftyne.com",10.0,54.99444444,-1.440930506
7,"Port","Rochester","www.thamesport.co.uk",10.0,51.43472222,0.685806832
7,"Port","Tema","www.ghanaports.gov.gh",10.0,5.631944444,0.007420495
7,"Port","Alexandroupolis",,10.0,40.84138889,25.88916372
7,"Port","Kos",,10.0,36.89444444,27.28987044
7,"Port","Paros",,10.0,37.08777778,25.15070671
7,"Port","Samos",,10.0,37.75444444,26.96666667
7,"Port","Nanortalik","www.ral.gl",10.0,60.13972222,-45.23810365
7,"Port","Qaanaaq",,10.0,77.46694444,-69.23510012
7,"Port","New Amsterdam","www.gnsc.com",10.0,6.237777778,-57.52179034
7,"Port","La Ceiba","www.enp.hn",10.0,15.79388889,-86.75689046
7,"Port","Tela","www.enp.hn",10.0,15.78388889,-87.45583039
7,"Port","Mali Losinj",,10.0,44.53833333,14.45759717
7,"Port","Jacmel","www.apn.gouv.ht",10.0,18.23166667,-72.53598351
7,"Port","Jeremie","www.apn.gouv.ht",10.0,18.64361111,-74.10706714
7,"Port","Sorong",,10.0,-1.3075,131.0203769
7,"Port","Lhokseumawe","www.inaport1.co.id",10.0,5.166666667,97.14287397
7,"Port","Nunukan",,10.0,4.145555556,117.654947
7,"Port","Panjang","portal.inaport2.co.id",10.0,-5.460277778,105.3070671
7,"Port","Tanjung Priok","www.priokport.co.id",10.0,-6.101388889,106.8904005
7,"Port","Mangalore","www.newmangalore-port.com",10.0,12.92694444,74.80742049
7,"Port","Porbandar","www.gmbports.org",10.0,21.63944444,69.58739694
7,"Port","Ratnagiri",,10.0,17.00194444,73.27179034
7,"Port","Bantry","bantrybayport.com",10.0,51.68055556,-9.456183746
7,"Port","Wexford",,10.0,52.34111111,-6.456183746
7,"Port","Khorramshahr","www.khport.ir",10.0,30.4325,48.18545347
7,"Port","Djupivogur","www.djupivogur.is",10.0,64.66055556,-14.28651355
7,"Port","Faskrudsfjordur",,10.0,64.92972222,-14.00883392
7,"Port","Raufarhofn","www.raufarhofn.is",10.0,66.45638889,-15.94146054
7,"Port","Pantelleria",,10.0,36.83333333,11.93792697
7,"Port","Catania","www.porto.catania.it",10.0,37.49583333,15.09093051
