"Year","State","Category","Percent"
"2014","NorthCarolina","Hydro",3.852455740718539
"2014","NorthDakota","Renewables",17.082575882774197
"2014","NorthDakota","coal",75.28783121247177
"2014","NorthDakota","Hydro",6.971299509722911
"2014","Ohio","coal",68.10904863575233
"2014","Ohio","natural gas",17.84881202938964
"2014","Ohio","nuclear",12.372825979591372
"2014","Oklahoma","Renewables",17.225605356575947
"2014","Oklahoma","coal",42.59863199515138
"2014","Oklahoma","natural gas",38.25074316719097
"2014","Oklahoma","Hydro",1.9077029640105054
"2014","Oregon","Renewables",13.631515685046303
"2014","Oregon","coal",5.40554267043627
"2014","Oregon","natural gas",21.249724898000643
"2014","Oregon","Hydro",59.696287392710225
"2014","Pennsylvania","Renewables",2.42262904386661
"2014","Pennsylvania","coal",36.190414675106574
"2014","Pennsylvania","natural gas",23.828132208832375
"2014","Pennsylvania","nuclear",36.31636739439349
"2014","RhodeIsland","Renewables",3.3376330216059333
"2014","RhodeIsland","Petroleum",1.144792002579813
"2014","RhodeIsland","natural gas",95.45307965172525
"2014","SouthCarolina","coal",30.18194416739283
"2014","SouthCarolina","natural gas",11.940282837615094
"2014","SouthCarolina","nuclear",55.033648647229896
"2014","SouthCarolina","Hydro",1.7658978047013618
"2014","SouthDakota","Renewables",21.246020918599363
"2014","SouthDakota","coal",24.45657116871305
"2014","SouthDakota","natural gas",4.229195088676671
"2014","SouthDakota","Hydro",50.00454752160073
"2014","Tennessee","coal",45.08809915855255
"2014","Tennessee","natural gas",7.720831334517497
"2014","Tennessee","nuclear",35.874962724785746
"2014","Tennessee","Hydro",10.90381049929339
"2014","Texas","Renewables",10.309637808406078
"2014","Texas","coal",37.438002956150434
"2014","Texas","natural gas",42.20321639273848
"2014","Texas","nuclear",9.926348901550085
"2014","UnitedStates","Renewables",6.709772402929683
"2014","UnitedStates","coal",39.7798884075508
"2014","UnitedStates","natural gas",26.198462535588984
"2014","UnitedStates","nuclear",20.213985266388683
"2014","UnitedStates","Hydro",6.38679634733023
"2014","Utah","Renewables",1.4161608949184814
"2014","Utah","coal",78.37677020111865
"2014","Utah","natural gas",18.64334166369154
"2014","Utah","Hydro",1.5066047840057122
"2014","Vermont","Renewables",10.866771383692702
"2014","Vermont","nuclear",72.2690275596173
"2014","Vermont","Hydro",16.778523489932887
"2014","Virginia","Renewables",2.948671277757554
"2014","Virginia","Petroleum",1.609836993892327
"2014","Virginia","coal",27.42385632811552
"2014","Virginia","natural gas",27.743396836953444
"2014","Virginia","nuclear",40.7461338294975
"2014","Washington","Renewables",6.820564797986858
"2014","Washington","coal",5.833216832098421
"2014","Washington","natural gas",9.608730602544387
"2014","Washington","nuclear",8.298091709772123
"2014","Washington","Hydro",69.42716342793234
"2014","WestVirginia","Renewables",1.8216850586792783
"2014","WestVirginia","coal",96.26529539824338
"2014","Wisconsin","Renewables",4.439577603476962
"2014","Wisconsin","coal",62.132015890801675
"2014","Wisconsin","natural gas",13.232148314148926
"2014","Wisconsin","nuclear",16.038504634817155
"2014","Wisconsin","Hydro",3.928559301891277
"2014","Wyoming","Renewables",9.115359152598478
"2014","Wyoming","coal",88.84682224428997
"2014","Wyoming","Hydro",1.7978318437603442
